mpg,weight,foreign
22,2930,0
17,3350,0
22,2640,0
20,3250,0
15,4080,0
18,3670,0
26,2230,0
20,3280,0
16,3880,0
19,3400,0
14,4330,0
14,3900,0
21,4290,0
29,2110,0
16,3690,0
22,3180,0
22,3220,0
24,2750,0
19,3430,0
30,2120,0
18,3600,0
16,3600,0
17,3740,0
28,1800,0
21,2650,0
12,4840,0
12,4720,0
14,3830,0
22,2580,0
14,4060,0
15,3720,0
18,3370,0
14,4130,0
20,2830,0
21,4060,0
19,3310,0
19,3300,0
18,3690,0
19,3370,0
24,2730,0
16,4030,0
28,3260,0
34,1800,0
25,2200,0
26,2520,0
18,3330,0
18,3700,0
18,3470,0
19,3210,0
19,3200,0
19,3420,0
24,2690,0
17,2830,1
23,2070,1
25,2650,1
23,2370,1
35,2020,1
24,2280,1
21,2750,1
21,2130,1
25,2240,1
28,1760,1
30,1980,1
14,3420,1
26,1830,1
35,2050,1
18,2410,1
31,2200,1
18,2670,1
23,2160,1
41,2040,1
25,1930,1
25,1990,1
17,3170,1
